央视,#genre#
CCTV1,mitv://ns2.hellotvvod.com:9906/9f8f5ae001e34d68bfb289a761ba6fbc.ts
CCTV2,mitv://ns2.hellotvvod.com:9906/38dd6016fa0e4faf86067a5cb877bf31.ts
CCTV3,mitv://ns2.hellotvvod.com:9906/a9344197d48a4f48b0c08e436b578d8d.ts
CCTV4,mitv://ns2.hellotvvod.com:9906/58184e852f1945d3ad0a355d1fbf60a1.ts
CCTV5,mitv://ns2.hellotvvod.com:9906/8998d09ef6a54524ae70ad38ca3db7bf.ts
CCTV5+,mitv://ns2.hellotvvod.com:9906/e15e51b4bb454ce3b657e47dd63f3a4d.ts
CCTV6,mitv://ns2.hellotvvod.com:9906/3a3934fd1f6b4066855a6a0f5f19c021.ts
CCTV7,mitv://ns2.hellotvvod.com:9906/f5b1d8f294324e8a9b1b9c03c6ab07f6.ts
CCTV8,mitv://ns2.hellotvvod.com:9906/59904f7fc4ed4fd6853c3742ccc2cbef.ts
CCTV9,mitv://ns2.hellotvvod.com:9906/ba7a62d5b84245deb8251effc5110eaf.ts
CCTV10,mitv://ns2.hellotvvod.com:9906/8afb1d857bd747d28e8578de35e0897b.ts
CCTV11,mitv://ns2.hellotvvod.com:9906/accb2d7f7e144e969d24eac5c58af517.ts
CCTV12,mitv://ns2.hellotvvod.com:9906/f0a6d9bce8a147be8dfceb03ada87b7c.ts
CCTV13,mitv://ns2.hellotvvod.com:9906/fd306f67d170415b82d0c55bf96ae06b.ts
CCTV14,mitv://ns2.hellotvvod.com:9906/0330205fcbad4a70b6d58c61257531a6.ts
CCTV15,mitv://ns2.hellotvvod.com:9906/7184b65eeaae4ab1a96dc8b16743b6db.ts
北京衛視,mitv://ns2.hellotvvod.com:9906/e47e842086184246b037492d27402517.ts
天津衛視,mitv://ns2.hellotvvod.com:9906/854e5e18d1494647b8dfc9560742a2a4.ts
河北衛視,mitv://ns2.hellotvvod.com:9906/5b6742a9419e41339640fbc39f8804aa.ts
黑龍江衛視,mitv://ns2.hellotvvod.com:9906/d8273796be454e578d34f21cf3a32316.ts
遼寧衛視,mitv://ns2.hellotvvod.com:9906/ac981ab54c9543b5a3143de992268316.ts
東方衛視,mitv://ns2.hellotvvod.com:9906/5a26251a97aa45ddad2784d89c9e9667.ts
江蘇衛視,mitv://ns2.hellotvvod.com:9906/2672a726516d460e89cc972d085115bb.ts
浙江衛視,mitv://ns2.hellotvvod.com:9906/30177d65cb96469facc326e017f200ef.ts
江西衛視,mitv://ns2.hellotvvod.com:9906/7774655f568644eea01df4df6a35f6ed.ts
山東衛視,mitv://ns2.hellotvvod.com:9906/c06edf55a5a849748255b1ffc27c9360.ts
東南衛視,mitv://ns2.hellotvvod.com:9906/cb46d9af6b0a4c508fd87014dfc0cf98.ts
湖北衛視,mitv://ns2.hellotvvod.com:9906/d809f753c9504bdaa5585928325526ae.ts
湖南衛視,mitv://ns2.hellotvvod.com:9906/e7b10521355e4812aec23582ff274f49.ts
深圳衛視,mitv://ns2.hellotvvod.com:9906/1ceb6145df7a495ba442112fe5177067.ts
廣東衛視,mitv://ns2.hellotvvod.com:9906/3b6fc36cb11a4677ba641c60bdbace69.ts
廣西衛視,mitv://ns2.hellotvvod.com:9906/9cd20e63481244818b3d698c5b4d032d.ts
重慶衛視,mitv://ns2.hellotvvod.com:9906/d8aad4a8c5dc48678ed04176bdf9d952.ts
雲南衛視,mitv://ns2.hellotvvod.com:9906/17e77eb2db4c48b8b323ffd013481028.ts
星空衛視,mitv://ns2.hellotvvod.com:9906/d620ab7e340d45bf9882f6bf7e359ddf.ts
廣東南方衛視,mitv://ns2.hellotvvod.com:9906/1706fcf1b5454ffaaa97a419f36ba275.ts
珠江台,mitv://ns2.hellotvvod.com:9906/78607ce356b14406bc71998a6e9d6cda.ts
金鷹卡通,mitv://ns2.hellotvvod.com:9906/ac0a589a208140c38ee37092e93896be.ts
魅力足球,mitv://ns2.hellotvvod.com:9906/8da72be8840f4ad0a1bd1f4e3f9828e3.ts
